publication_number,title,applicants_original,inventors_original,priority_date,publication_date,publication_year
US-2024094298-A1,Method for managing battery record and apparatus for performing the method ,"aiZEN Global Co., lnc.",Jung Seok KANG,9/20/2022,3/21/2024,2024
US-2023252592-A1,Artificial Intelligence Control of Mining Operations ,"Strong Force Ee Portfolio 2022, Llc","Charles H. Cella, Andrew Cardno",11/23/2021,8/10/2023,2023
US-2021319311-A1,Artificial intelligence apparatus using a plurality of output layers and method for same ,Lg Electronics Inc.,"Dongyeon SHIN, Sungmin Park, Jemin Woo, Kiyoung Lee",4/8/2020,10/14/2021,2021
US-2022338281-A1,Artificial intelligence device for providing device control function based on interworking between devices and method therefor ,Lg Electronics Inc.,"Osung Kwon, KunWoo KIM, Hyeseung RYU, Seowoo GONG, Jimin Lee",2/26/2020,10/20/2022,2022
US-2023140893-A1,Artificial intelligence apparatus and method for detecting unseen class items thereof ,Lg Electronics Inc.,"Hyoeun Kim, Kamin LEE, Seungah CHAE, Heeyeon CHOI, Yeonjee JUNG, Hyejeong Jeon",11/11/2021,5/11/2023,2023
US-2024022488-A1,Artificial intelligence apparatus and method for providing target device manual thereof ,Lg Electronics Inc.,"Jaehong Kim, Hyejeong Jeon",7/15/2022,1/18/2024,2024
US-2023169634-A1,Artificial intelligence device and method for generating training data ,Lg Electronics Inc.,"Yi Hu, Sangyun KIM, Run Cui, Hyunwoo Kim, Jaehong EOM",10/14/2020,6/1/2023,2023
US-11399143-B2,Artificial intelligence display device ,Lg Electronics Inc.,"Chanyong PARK, Yunsuk KANG, Wonseok Kang",1/31/2020,7/26/2022,2022
US-2021239338-A1,Artificial intelligence device for freezing product and method therefor ,Lg Electronics Inc.,Hyunseung SHIM,1/30/2020,8/5/2021,2021
US-2024242095-A1,Artificial intelligence device for multi-purpose retrieval for knowledge base question and answering and control method thereof ,Lg Electronics Inc.,"Manasa BHARADWAJ, Yipeng Ji, Yolanda Liu, Borislav MAVRIN",1/18/2023,7/18/2024,2024
US-11288840-B2,Artificial intelligence apparatus for estimating pose of head and method for the same ,Lg Electronics Inc.,"Taeju Hwang, Beopjung KIM, Namjoon KIM, Yubin YOON",1/14/2020,3/29/2022,2022
US-2023256852-A1,Intelligent charging scheduling algorithm ,Robert Bosch Gmbh,Mufaddal Zahid Bharmal,1/26/2022,8/17/2023,2023
US-11847531-B1,System and method for using artificial intelligence to detect lithium plating ,Eatron Technologies Limited,"Anil Ozturk, Mustafa Burak Gunel, Muharrem Ugur Yavas, Can Kurtulus",1/31/2023,12/19/2023,2023
US-2023178080-A1,Artificial intelligence device for recognizing speech and method thereof ,Lg Electronics Inc.,SunKi Min,5/8/2020,6/8/2023,2023
US-2024232620-A1,Artificial intelligence device for evaluation and control method thereof ,Lg Electronics Inc.,"Harmanpreet Singh, Maxime Gazeau, Homa Fashandi, Royaldenzil SEQUIERA, Sen Jia",1/6/2023,7/11/2024,2024
US-2023307918-A1,System and method for bi-directional direct current charging in electric vehicle supply equipment ,Enteligent Inc.,"Antonio GINART, Bahman Sharifipour, Sean Burke, Brian Reeves, Paul Reeves, Wei Fan, Julio Viola",3/23/2022,9/28/2023,2023
US-2021300198-A1,Reinforcement learning-based electric vehicle charging method and system ,Lg Electronics Inc.,"Junghwa CHOI, Minkook KIM, Yeonjung KIM, Kyungyul KIM, Sungyong YOON, YeonHo Choi",3/31/2020,9/30/2021,2021
US-2024142247-A1,Dynamic routing system to select charging stations ,Volvo Car Corporation,"Andreas Ropel, Ben LLOYD, Mathias Le Saux, Kostas Chatziioannou, Klas Persson Signell",10/29/2022,5/2/2024,2024
US-2024037629-A1,Ev fit modeling based on consumer data ,"Toyota Connected North America, Inc.","Mark A. McClung, Joshua C. Batie, Imad Zahid, Daniel E. Holman, Gianna E. Coburn, Zach E. Stallbohm",7/29/2022,2/1/2024,2024
US-2024355154-A1,Health diagnosis method and system for motor bearings of electric vehicle ,Aktiebolaget Skf,Caifu Xie,4/21/2023,10/24/2024,2024
US-2023168095-A1,Route providing device and route providing method therefor ,Lg Electronics Inc.,"Jinsang LEE, Sujin Kim, Sungmin Kim, Jihyun Kim, Seunghwan BANG",3/10/2020,6/1/2023,2023
US-2025033517-A1,Electric vehicle fleet charging and energy management system ,Cowan & Associates Management Ltd.,"Jordan Frances HANCOCK, Jordan Ashton COWAN, Peter Cameron COWAN, Martin Andrew HANCOCK",10/1/2021,1/30/2025,2025
US-2021232144-A1,Method of controlling artificial intelligence robot device ,Lg Electronics Inc.,KyoungWoo Lee,1/28/2020,7/29/2021,2021
US-2024217375-A1,Electric vehicle smart charging system ,"Micro-Star Int’l Co.,Ltd.","Chuan Yi LIN, Chung Ming Chan, Ming Huei CHANG, Szu Hsien WU",12/29/2022,7/4/2024,2024
US-12169662-B2,Vehicle and control method thereof ,"Hyundai Motor Company, Kia Corporation","Kyoung-Jin Chang, Dong Chul Park, Jinsung Lee, Sangjin Hong",2/22/2021,12/17/2024,2024
US-2023058169-A1,System for representing attributes in a transportation system digital twin ,"Strong Force Tp Portfolio 2022, Llc","Charles Howard Cella, Teymour El-Tahry, Jenna Lynn Parenti, Andrew Cardno",4/28/2020,2/23/2023,2023
US-2021347275-A1,System and method for a battery on wheels (bow) for charging mobile battery-operated units ,"University Of Florida Research Foundation, Incorporated","Prabuddha CHAKRABORTY, Swarup Bhunia, Christopher M. Vega",5/6/2020,11/11/2021,2021
US-11966901-B2,Automated shopping experience using cashier-less systems ,Lg Electronics Inc.,"Amir hossein Khalili, Bhooshan Supe, Jung Ick GUACK, Shantanu PATEL, Gaurav SARAF, Baisub Lee, Helder Silva, Julie Huynh, Jaigak Song",9/1/2020,4/23/2024,2024
US-2024367539-A1,Artificial intelligence based system and method for energy cell fault identification ,GM Global Technology Operations LLC,"Yue-Yun Wang, Ibrahim Haskara",5/2/2023,11/7/2024,2024
US-2024061907-A1,Artificial intelligence apparatus and method for estimating sound source localization thereof ,Lg Electronics Inc.,"Hyeonsik CHOI, Sungmoon CHO, Sangjun OH, Jaepil SEO",8/19/2022,2/22/2024,2024
US-11713060-B2,"Systems and methods for remote monitoring of a vehicle, robot or drone ",Guident Ltd.,"Clifford M. Gross, Harald Braun, Gabriel Castaneda, Michael J. Trank",9/18/2020,8/1/2023,2023
US-11658356-B1,Systems and methods for predicting remaining useful life in batteries and assets ,Eatron Technologies Ltd.,"Gokhan Budan, Anil Ozturk, Alex Darlington, Can Kurtulus",3/28/2022,5/23/2023,2023
US-2024010129-A1,Controller system and control method ,"Huawei Technologies Co., Ltd.","Xiaolin Jia, Xiubo Chen",3/26/2021,1/11/2024,2024
US-11830991-B2,Method and apparatus based on neural network for pre-diagnosing defect and fire in battery cell ,"Korea Power Cell Co., Ltd., Robovolt Co., Ltd.","Jin Geun KWON, Jun Ki Hong, Dong Heon Lee",8/14/2020,11/28/2023,2023
US-11397319-B2,Method of providing a content and device therefor ,Lg Electronics Inc.,Dahye YOON,2/14/2020,7/26/2022,2022
US-2021110323-A1,"Optimizing charging, fueling, and parking overheads of fleet vehicles in a maas architecture ","Juan Pablo Munoz, Ignacio J. Alvarez, Arvind Merwaday, Satish Chandra Jha, Ned M. Smith, Vesh Raj Sharma Banjade, S M Iftekharul Alam","Juan Pablo Munoz, Ignacio J. Alvarez, Arvind Merwaday, Satish Chandra Jha, Ned M. Smith, Vesh Raj Sharma Banjade, S M Iftekharul Alam",12/22/2020,4/15/2021,2021
US-11527079-B2,Available vehicle parking space detection using machine learning ,Cdw Llc,"Colin R. Vallance, Michael Alan Robinson, Forrest Weinberg, Sankar Nair",3/19/2020,12/13/2022,2022
US-2022067851-A1,Building system with a recommendation interface ,Johnson Controls Tyco IP Holdings LLP,"Vineet Binodshanker Sinha, Corey A. Poquette, Rachel D. M. Ellerman, Rajesh Nayak, Alan S. Schwegler",8/18/2020,3/3/2022,2022
US-2022019204-A1,"Intelligent data object model for distributed product manufacturing, assembly and facility infrastructure ",Zero Electric Vehicles Corp.,"James L Maury, Damon Kuhn, Ted Post",7/20/2020,1/20/2022,2022
US-2021295619-A1,"Information presentation system, server, information presentation method, and information presentation device ",Toyota Jidosha Kabushiki Kaisha,Yoshiyuki TSUCHIYA,3/23/2020,9/23/2021,2021
US-2024135294-A1,Building system with building health recommendations ,Johnson Controls Tyco IP Holdings LLP,"Ravindra Ramanand Warake, Shawn D. Schubert, Vineet Binodshanker Sinha, Joseph S. Stangarone, Nicole A. Madison, Kerry M. Bell",8/17/2020,4/25/2024,2024
US-2022289067-A1,"Universal battery pack, electric vehicle powertrain design and battery swapping network with battery health management ",Feyijimi Adegbohun,Feyijimi Adegbohun,12/29/2020,9/15/2022,2022
US-11607971-B2,Method for scheduling multi agent and unmanned electric vehicle battery swap based on internet of vehicles ,Harbin Engineering University,"Tong Wang, Guangxin Yang, Yu Wang, Shan GAO, Liwei Chen",10/22/2020,3/21/2023,2023
US-11756351-B1,Vehicle gateway device and interactive cohort graphical user interfaces associated therewith ,Samsara Inc.,"Muhammad Ali Akhtar, Jennifer Julia Zhang, Alvin Wu, Benjamin Chang, Joanne Wang, Katherine Yeonjune Lee",1/28/2021,9/12/2023,2023
US-2023151758-A1,Scalable greenhouse gas capture systems and methods ,Marathon Petroleum Company Lp,Zachary D. Thobe,3/16/2021,5/18/2023,2023
US-2023220955-A1,Scalable greenhouse gas capture systems and methods ,Marathon Petroleum Company Lp,Zachary D. Thobe,3/16/2021,7/13/2023,2023
US-11965935-B2,Method and apparatus for operating a system for providing predicted states of health of electrical energy stores for a device using machine learning methods ,Robert Bosch Gmbh,"Christian Simonis, Christoph KROENER",12/3/2020,4/23/2024,2024
US-12092709-B2,NV center-based microwave-free galvanically isolated magnetometer ,"Elmos Semiconductor Se, Quantum Technologies Gmbh, duotec GmbH","Bernd Burchard, Jan Meijer, Arthur Rönisch, Robert Staacke",1/30/2020,9/17/2024,2024
US-2023205606-A1,"Systems, apparatus, and methods to workload optimize hardware ",Intel Corporation,"Stephen Palermo, Neelam Chandwani, Kshitij Doshi, Chetan Hiremath, Rajesh Gadiyar, Udayan Mukherjee, Daniel TOWNER, Valerie Parker, Shubha Bommalingaiahnapallya, Rany ElSayed",5/29/2020,6/29/2023,2023
US-2021273714-A1,Method for intelligently tracking beam and autonomous vehicle therefor ,Lg Electronics Inc.,Kyungho Lee,2/21/2020,9/2/2021,2021
